期間,エリア,年,月,日,年齢,便,同乗者数,週,曜日,乗車座標,,降車座標,
term,area,year,month,day,age,binn,passenger,week,yobi,O_X,O_Y,D_X,D_Y
1,1,2023,2,16,88,1,1,3,木,137.11971,37.394784,137.147005,37.308615
1,1,2023,2,16,88,4,2,3,木,137.147005,37.308615,137.11971,37.394784
1,1,2023,2,16,81,4,2,3,木,137.147005,37.308615,137.11971,37.394784
1,1,2023,2,28,90,1,1,5,火,137.119584,37.34287,137.147005,37.308615
1,1,2023,2,28,90,3,1,5,火,137.147005,37.308615,137.109311,37.345712
1,1,2024,2,26,82,4,1,5,月,137.147005,37.308615,137.122845,37.383534
1,2,2023,2,16,53,1,1,3,木,137.006106,37.371875,137.147005,37.308615
1,2,2023,2,16,78,4,2,3,木,137.147005,37.308615,136.999816,37.350227
1,2,2023,2,16,53,4,2,3,木,137.147005,37.308615,137.006106,37.371875
1,2,2023,2,22,87,1,2,4,水,137.076181,37.375719,137.147005,37.308615
1,2,2023,2,22,83,1,2,4,水,137.076181,37.375719,137.147005,37.308615
1,2,2023,2,22,82,2,2,4,水,136.999816,37.350227,137.147005,37.308615
1,2,2023,2,22,78,2,2,4,水,136.999816,37.350227,137.147005,37.308615
1,2,2023,2,27,53,1,2,5,月,137.006106,37.371875,137.147005,37.308615
1,2,2023,2,27,84,1,2,5,月,137.076181,37.375719,137.147005,37.308615
1,2,2023,2,27,53,3,2,5,月,137.147005,37.308615,137.006106,37.371875
1,2,2023,2,27,84,3,2,5,月,137.147005,37.308615,137.076181,37.375719
1,2,2023,3,1,84,1,2,1,水,137.076181,37.375719,137.147005,37.308615
1,2,2023,3,1,83,1,2,1,水,137.076181,37.375719,137.147005,37.308615
1,2,2023,3,1,72,2,1,1,水,136.999816,37.350227,137.097555,37.369425
1,2,2023,3,1,84,4,2,1,水,137.147005,37.308615,137.076181,37.375719
1,2,2023,3,1,83,4,2,1,水,137.147005,37.308615,137.076181,37.375719
